Value Bets,Value Players,ratio_bets_players
127036.25,6084,2088.0382971729127
160913.8,9556,1683.9033068229382
102238.13,5634,1814.6632942847002
98768.28,5405,1827.350231267345
157093.0,8337,1884.2869137579466
93243.9,5829,1599.655172413793
130677.9,6744,1937.69128113879
48195.4,3037,1586.9410602568325
108691.76,6590,1649.3438543247344
261184.5,12961,2015.1570094900085
85738.5,5833,1469.8868506771814
97411.7,5368,1814.673994038748
244240.5,16007,1525.8355719372776
147450.81,7068,2086.1744482173176
116841.56,7928,1473.7835519677094
186707.75,10543,1770.916721995637
62930.299999999996,4140,1520.0555555555554
160278.7,9778,1639.1767232562897
224445.58,11429,1963.8251815556916
135832.5,9460,1435.8615221987313
54840.0,3156,1737.6425855513307
68593.0,3574,1919.2221600447676
113045.38,5185,2180.2387656702026
156102.51,9393,1661.902587032897
62527.92,4231,1477.85204443394
79339.32,4298,1845.959050721266
89839.0,5038,1783.2274712187377
111671.8,7960,1402.9120603015076
137620.33,7224,1905.0433277962345
195520.56,10918,1790.8093057336507
177039.4,11132,1590.3647143370463
87917.5,4223,2081.8730760123135
211157.15,12708,1661.6080421781553
198479.79,11865,1672.8174462705435
184457.1,11348,1625.459111737751
75836.3,6187,1225.7362211087764
80420.24,3501,2297.064838617538
136058.2,8939,1522.0740575008392
143741.4,10232,1404.8221266614541
242513.1,15771,1537.715427049648
179110.29,11258,1590.9601172499556
162585.05,11100,1464.73018018018
117308.85,5817,2016.6554925219184
209791.6,15865,1322.3548692089505
153456.4,11745,1306.5679012345677
190888.30000000002,12246,1558.7808263922914
99299.33,5874,1690.4891045284305
225121.19999999998,12566,1791.5104249562307
76097.22,5399,1409.4687905167623
120392.18,5451,2208.6255732893046
185326.0,9691,1912.3516664946858
224809.66,12378,1816.2034254322184
197155.52,12139,1624.149600461323
121623.8,7161,1698.419215193409
103122.98,5519,1868.508425439391
155704.59999999998,12909,1206.1708885273838
117073.65,6496,1802.242149014778
269976.2,15202,1775.925536113669
149968.26,9581,1565.267299864315
127381.15,7025,1813.2548042704627
128230.65,6288,2039.2915076335878
143959.0,7643,1883.5404945701948
225587.47,10823,2084.334010902707
